Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10
Bệnh botulism,khô miệng,sụp mí mắt,đau cơ,khó thở,nôn mửa,buồn nôn,khó nuốt,,,
Suy tim,khó thở,thở khò khè,tiểu thường xuyên,sưng phù,chán ăn,khó tập thể dục,,,,
Viêm bàng quang,buồn nôn,nước tiểu đục,đau bụng dưới,tiểu nhiều lần,mệt mỏi,sốt,nước tiểu có mùi khó chịu,,,
Viêm gan,vàng da,phân nhạt màu,đau bụng,chán ăn,đau khớp,buồn nôn,mệt mỏi,đau cơ,sốt,nước tiểu sẫm màu
Chán ăn,khó ngủ,giảm cân nhanh,buồn nôn,chóng mặt,mất tự tin,mất cảm giác thèm ăn,mệt mỏi,cảm giác no ngay cả khi không ăn,suy nhược cơ thể,
Sarcoidosis,đau ngực,mệt mỏi,phù,phát ban,sút cân,đau khớp,đau bụng,ho khan,khó thở,
Trào ngược dạ dày thực quản,chứng ợ nóng,khó thở,đầy hơi,cảm giác nóng rát,ho khan,đau ngực,khó ngủ,khó nuốt,đau họng,
Hội chứng Guillain-Barré,cảm giác kim châm trên da,đau cơ,mất cảm giác ở tay và chân,mất khả năng vận động,yếu cơ,,,,,
Viêm ruột thừa,tiêu chảy hoặc táo bón,nôn mửa,khó tiêu,đau khi ho hoặc di chuyển,sốt,cảm giác no bụng,đau bụng,đau vùng bụng dưới bên phải,mệt mỏi,
Hội chứng buồng trứng đa nang (PCOS),khó thụ thai,da dầu,kinh nguyệt không đều,rối loạn tâm lý,vấn đề về da,rối loạn nội tiết,mọc nhiều lông,mụn trứng cá,đau bụng,
Thiếu máu,đau ngực,sút cân,nhức đầu,mệt mỏi,đau cơ,chóng mặt,lạnh tay chân,da nhợt nhạt,,
Herpes,buồn nôn,đau cơ,sốt,đau khi tiểu,vết loét trên cơ thể,vùng da đau nhức,đau đầu,ngứa,mệt mỏi,phát ban
Nấm da,vảy da,sưng da,lột da,da khô,ngứa da,mẩn đỏ,lở loét,vết thương lâu lành,tạo vết nứt,
Gonorrhea,ngứa,sưng vùng kín,đau khi đi tiểu,sốt,mệt mỏi,,,,,
Bệnh Alzheimer,khó giải quyết vấn đề,mơ hồ,thay đổi tính cách,thay đổi tâm trạng,không nhận ra nơi quen thuộc,mất đồ đạc,,,,
Rối loạn lưỡng cực,trầm cảm,khó khăn trong kiểm soát cảm xúc,cảm giác cực kỳ vui vẻ,cảm giác bồn chồn,nói nhiều,thay đổi đột ngột tâm trạng,vấn đề với hành vi,suy nghĩ nhanh,,
Ngộ độc thực phẩm,sốt,nôn mửa,buồn nôn,sút cân,mệt mỏi,đau bụng,,,,
Mumps,đau nhức,nuốt đau,sưng tuyến nước bọt,sưng tinh hoàn,chán ăn,đau cơ,,,,
Mụn,mụn gây sưng đỏ,đau khi chạm vào,ngứa,mụn đầu đen,mụn bọc,da dầu,mụn trứng cá,mụn viêm,,
Herpes,đau khi tiểu,buồn nôn,sốt,đau đầu,ngứa,vết loét trên cơ thể,mệt mỏi,đau cơ,phát ban,
Viêm màng não,đau cơ,co giật,sốt cao,cứng cổ,lú lẫn,sợ ánh sáng,buồn nôn,mệt mỏi,đau đầu dữ dội,
HIV/AIDS,ho khô kéo dài,mệt mỏi,tiêu chảy,buồn nôn,sốt,đau đầu,,,,
Viêm não,cứng cổ,nôn mửa,co giật,mất cân bằng,mệt mỏi,,,,,
Sởi,đau cơ,phát ban,mệt mỏi,ho,viêm kết mạc,sốt,chán ăn,đốm trắng trong miệng,sổ mũi,đau họng
Viêm khớp dạng thấp,chán ăn,sưng khớp,sốt,cứng khớp buổi sáng,mệt mỏi,trầm cảm,giảm cân,khó ngủ,,
Thoát vị,tăng áp lực bụng,đau vùng bụng,đau xương chậu,cảm giác nặng nề,đau khi ho hoặc căng thẳng,đau khi di chuyển,tăng áp lực khi đi vệ sinh,khó thở,sưng vùng bụng,cảm giác căng tức
Động kinh,chuột rút cơ,mất trí nhớ tạm thời,mơ hồ,chuyển động không kiểm soát,cảm giác trước khi co giật,mất ý thức,,,,
Sốt rét,sốt,rùng mình,thiếu máu,mệt mỏi,buồn nôn,nôn,đau cơ,đau đầu,mồ hôi,
U ác tính,khó thở,khối u,sốt,đau ngực,giảm cân không rõ lý do,,,,,
Bệnh bạch cầu,đau bụng,ra mồ hôi đêm,hạch bạch huyết sưng,dễ bầm tím,mệt mỏi,,,,,
Virus Zika,viêm kết mạc,đau cơ,đau khớp,đau đầu,buồn nôn,sưng khớp,phát ban,,,
Viêm tụy mạn tính,đầy hơi,sụt cân,tiêu chảy,buồn nôn,mỡ trong phân,,,,,
Xơ cứng bì,khó thở,đau khớp,suy giảm khả năng di chuyển,suy thận,đau cơ,,,,,
Viêm phổi,rùng mình,mơ hồ,nôn,môi hoặc ngón tay màu xanh,buồn nôn,ho,khó thở,mệt mỏi,đau ngực,
Thiếu máu,sút cân,thở nhanh,chóng mặt,nhức đầu,tim đập nhanh,da nhợt nhạt,mệt mỏi,đau cơ,,
Bệnh máu khó đông,chảy máu răng,mệt mỏi,cảm giác nặng nề ở tay chân,dễ bầm tím,sưng khớp,xuất huyết trong cơ,,,,
Suy giáp,rụng tóc,tăng cân,phù mặt,mệt mỏi,trầm cảm,giọng khàn,kinh nguyệt không đều,khó chịu với lạnh,chậm nhịp tim,da khô
Xơ cứng bì,đau khớp,suy thận,da căng và dày,khó thở,vết thương chậm lành,cảm giác nóng da,viêm phổi,,,
Bệnh botulism,buồn nôn,khô miệng,sụp mí mắt,khó nuốt,khó thở,mệt mỏi,,,,
Eczema,vảy da,khô da,khó chịu,dễ bị kích ứng,da bị nứt nẻ,,,,,
Viêm loét đại tràng,tiêu chảy có máu,đau bụng,tăng tần suất đi vệ sinh,sốt,thiếu máu,đau trực tràng,,,,
Rối loạn hoảng sợ,cảm giác tê liệt,đau ngực,mồ hôi vã ra,khó thở,run rẩy,buồn nôn,cảm giác choáng váng,đột ngột cảm giác sợ hãi,,
Sốt rét,sốt,mồ hôi,đau cơ,thở nhanh,buồn nôn,nôn,mệt mỏi,thiếu máu,,
Viêm ruột thừa,sốt,đau bụng,mệt mỏi,đau vùng bụng dưới bên phải,tiêu chảy hoặc táo bón,đau khi ho hoặc di chuyển,,,,
Viêm loét đại tràng,thiếu máu,tăng tần suất đi vệ sinh,sốt,đau bụng,giảm cân,đau trực tràng,mệt mỏi,,,
Bệnh phổi tắc nghẽn mãn tính (COPD),khó thở,khó thở khi gắng sức,thở nhanh,đau ngực,sút cân,ho có đờm,,,,
Ung thư vú,khối u trong vú,mệt mỏi,sụt cân không rõ lý do,thay đổi màu sắc da quanh vú,chảy dịch từ vú,thay đổi kích thước hoặc hình dạng vú,sưng hạch bạch huyết ở nách,cảm giác nặng nề,đau khi chạm vào vú,
Ngưng thở khi ngủ,thở dốc khi ngủ,đau đầu,ngáy to,khô miệng khi thức dậy,mệt mỏi vào buổi sáng,buồn ngủ ban ngày,khó thở khi ngủ,tỉnh giấc đột ngột,tiếng thở rít khi ngủ,khó tập trung
Ung thư tuyến giáp,mệt mỏi,tim đập nhanh,thay đổi giọng nói,đau cổ,sút cân,ho khan,khó nuốt,,,
Viêm khớp,biến dạng khớp,đau khớp,đỏ xung quanh khớp,sưng tấy,mệt mỏi,đau nhức,cứng khớp,nhiệt độ khớp,,
Ung thư tuyến tiền liệt,mệt mỏi,"đi tiểu thường xuyên, đặc biệt vào ban đêm",đau vùng xương chậu,máu trong nước tiểu,đau khi đi tiểu,sút cân nhanh,buồn nôn,tiểu khó,đau vùng lưng dưới,
Ngộ độc thực phẩm,sút cân,buồn nôn,mệt mỏi,nôn mửa,tiêu chảy,khó tiêu,,,,
Chán ăn,mất cảm giác thèm ăn,chóng mặt,suy nhược cơ thể,buồn nôn,khó ngủ,mệt mỏi,,,,
Đột quỵ,nói ngọng,đau đầu dữ dội,yếu một bên cơ thể,chóng mặt,khó đi lại,tê bì đột ngột,khó nuốt,mơ hồ,khó nhìn,mất phối hợp
Viêm bàng quang,tiểu đau,buồn nôn,mệt mỏi,sốt,nước tiểu đục,đau bụng dưới,ớn lạnh,tiểu nhiều lần,,
Chấy,cảm giác ngứa khi chải tóc,gàu,sưng đỏ da đầu,ngứa da đầu,lây lan sang người khác,sử dụng lược chấy,tóc rụng,viêm da đầu,cảm giác châm chích,rối loạn tóc
Tiểu đường,tê hoặc ngứa,nhiễm trùng thường xuyên,lành vết thương chậm,mệt mỏi,giảm cân không rõ lý do,khát nước,thèm ăn cực độ,da khô,tiểu nhiều lần,
Ung thư nội mạc tử cung,mệt mỏi,đau lưng,ra máu âm đạo bất thường,tiểu thường xuyên,đau khi quan hệ,đau xương chậu,vàng da,sút cân,khó tiêu,
Bệnh phong,da đổi màu,vấn đề về mắt,sưng,yếu cơ,tổn thương da,tê,sẹo,nerv lớn phì đại,tắc nghẽn mũi,
Hội chứng buồng trứng đa nang (PCOS),tăng cân,khó thụ thai,mụn trứng cá,mọc nhiều lông,đau bụng,da dầu,kinh nguyệt không đều,rối loạn tâm lý,rối loạn nội tiết,
Động kinh,mơ hồ sau cơn co giật,chuyển động không kiểm soát,cắn lưỡi,mất trí nhớ tạm thời,mất ý thức,co giật,chuột rút cơ,cảm giác trước khi co giật,,
Hội chứng mệt mỏi mãn tính,suy giảm trí nhớ,cảm giác không phục hồi sau giấc ngủ,mệt mỏi không rõ nguyên nhân,trí nhớ kém,đau khớp,lo âu,khó ngủ,đau cơ,đau đầu,cảm giác mệt mỏi kéo dài
Sởi,phát ban,sốt,viêm kết mạc,mệt mỏi,đốm trắng trong miệng,đau họng,đau cơ,ho,sổ mũi,
Ung thư buồng trứng,chướng bụng,mệt mỏi,sút cân không rõ lý do,khó tiêu,tiểu nhiều hoặc tiểu khó,đau bụng,đau lưng,,,
Bệnh phổi tắc nghẽn mãn tính (COPD),tiếng thở có âm thanh,ho có đờm,mệt mỏi,đau ngực,khó thở khi gắng sức,ho kéo dài,sút cân,thở nhanh,khò khè,khó thở
Ung thư tuyến giáp,thay đổi giọng nói,da khô,rối loạn giấc ngủ,khó nuốt,ho khan,đau cổ,sút cân,tim đập nhanh,,
Viêm não,đau đầu,mất cân bằng,chóng mặt,cứng cổ,suy giảm nhận thức,co giật,sốt cao,mệt mỏi,nôn mửa,
Sa sút trí tuệ,khó khăn trong việc ra quyết định,mất khả năng hoàn thành công việc đơn giản,cảm giác bị mất kiểm soát,trầm cảm,khó nhớ tên,lúng túng trong giao tiếp,,,,
Chân vận động viên,sưng tấy,châm chích,vảy da,da đỏ,sưng và đỏ lòng bàn chân,vết nứt da,mùi hôi chân,ngứa giữa các ngón chân,đau khi đi,
Sốt thương hàn,đau bụng,đau đầu,tiêu chảy,sốt,mơ hồ,yếu,đau cơ,,,
Hội chứng ruột kích thích,đau quặn thắt,tiêu chảy,buồn nôn,sụt cân,nước tiểu sẫm màu,đau khi đi vệ sinh,mệt mỏi,đau bụng,đầy hơi,
Rối loạn lưỡng cực,trầm cảm,dễ nổi giận,vấn đề với hành vi,nói nhiều,suy nghĩ nhanh,cảm giác cực kỳ vui vẻ,thay đổi đột ngột tâm trạng,cảm giác bồn chồn,khó khăn trong kiểm soát cảm xúc,mất ngủ
Sốt rét,đau cơ,rùng mình,đau đầu,mệt mỏi,nôn,mồ hôi,thở nhanh,,,
Thai ngoài tử cung,đau khi ho,thở dốc,ra máu âm đạo,đau bụng dữ dội,cảm giác nặng bụng,mệt mỏi,đau khi đi vệ sinh,chóng mặt,chậm kinh,
Rối loạn ám ảnh cưỡng chế (OCD),lo lắng quá mức,khó kiểm soát cảm xúc,lặp lại hành động hoặc suy nghĩ,hoặc làm điều gì đó,sợ hãi không kiểm soát được,cảm giác cần phải làm theo một cách cụ thể,lo ngại về sự không sạch sẽ,,,
Syphilis,mệt mỏi,rối loạn tiêu hóa,đau cơ,sốt,phát ban da,,,,,
Gout,đau khớp đột ngột,sút cân,cảm giác nóng ở khớp,sưng khớp,đau lưng,khó di chuyển,đỏ da quanh khớp,,,
Bệnh Alzheimer,thay đổi tâm trạng,không nhận ra nơi quen thuộc,mất trí nhớ,mất đồ đạc,lạc hướng,khó giải quyết vấn đề,rút lui khỏi các hoạt động xã hội,mơ hồ,thay đổi tính cách,
Bệnh cơ xơ hóa,suy giảm khả năng di chuyển,tăng huyết áp,cứng cơ,mất cân bằng điện giải,đau cơ,mệt mỏi,khó thở,hạn chế tầm vận động,đau khớp,
Bệnh Crohn,mệt mỏi,chảy máu trực tràng,tiêu chảy,máu trong phân,giảm cân,sốt,đau bụng,mất cảm giác ngon miệng,,
Lạc nội mạc tử cung,tiểu buốt,đau lưng,đau khi quan hệ,đau vùng chậu,kinh nguyệt không đều,,,,,
HIV,đổ mồ hôi ban đêm,phát ban,đau cơ,viêm hạch bạch huyết,đau họng,sút cân,chán ăn,khó thở,,
Xơ gan,giảm cơ,mạch máu nổi rõ trên da,sút cân,vàng da,ngứa,buồn nôn,tinh thần lú lẫn,xuất huyết,mệt mỏi,
Sản giật,huyết áp cao,thở nhanh,khó thở,đau bụng,mất ý thức,,,,,
Dại,ảo giác,đau đầu,co giật,sốt,kích động,,,,,
Ung thư tuyến giáp,đau cổ,khó thở,thay đổi giọng nói,ho khan,da khô,tim đập nhanh,khó nuốt,sút cân,,
Lupus ban đỏ hệ thống,rụng tóc,khó thở,đau ngực,mệt mỏi,viêm màng phổi,chóng mặt,đau khớp,phát ban cánh bướm,sốt,da sạm
Syphilis,phát ban da,đau đầu,khó nuốt,đau cơ,vết loét không đau,mệt mỏi,đau họng,sốt,viêm hạch,rối loạn tiêu hóa
Ung thư nội mạc tử cung,mệt mỏi,đau khi quan hệ,tiểu thường xuyên,đau lưng,khó tiêu,vàng da,,,,
Viêm gan,đau bụng,sốt,mệt mỏi,đau cơ,phân nhạt màu,nước tiểu sẫm màu,buồn nôn,vàng da,chán ăn,đau khớp
Bệnh Huntington,yếu cơ,thay đổi hành vi,cử động không kiểm soát,mất thăng bằng,mất tập trung,trầm cảm,,,,
Psoriasis,mẩn đỏ,vết sưng da,nứt nẻ da,đau khớp,ngứa,vảy da,da khô,tăng mảng vảy,,
Rối loạn hoảng sợ,mồ hôi vã ra,cảm giác tê liệt,rối loạn nhịp tim,cảm giác choáng váng,mệt mỏi,đột ngột cảm giác sợ hãi,,,,
Sa sút trí tuệ,cảm giác lạc lõng,mất khả năng hoàn thành công việc đơn giản,trầm cảm,khó khăn trong việc ra quyết định,khó nhớ tên,thay đổi tính cách,,,,
Ung thư,mệt mỏi,đau,khó thở,cục u,khó nuốt,thay đổi thói quen đại tiện hoặc tiểu tiện,thay đổi da,,,
Lạc nội mạc tử cung,chảy máu giữa kỳ kinh,mệt mỏi,đau khi quan hệ,kinh nguyệt không đều,đau vùng chậu,tiểu buốt,đau bụng,đau khi đi tiểu,,
Bệnh phong,mất cảm giác,da đổi màu,sưng,yếu cơ,sẹo,,,,,
Ung thư đại trực tràng,đau khi đi tiêu,màu phân thay đổi,thay đổi thói quen đi tiêu,mệt mỏi,đau bụng,sút cân không rõ lý do,,,,
Bệnh Alzheimer,không nhận ra nơi quen thuộc,rút lui khỏi các hoạt động xã hội,mất trí nhớ,khó lập kế hoạch,mơ hồ,mất đồ đạc,thay đổi tính cách,,,
Bệnh Huntington,yếu cơ,thay đổi hành vi,khó nói,cử động không kiểm soát,trầm cảm,,,,,
Viêm màng não,hôn mê,cứng cổ,lú lẫn,sợ ánh sáng,buồn nôn,mệt mỏi,co giật,đau cơ,,
Herpes,đau đầu,vùng da đau nhức,vết loét trên cơ thể,ngứa,đau khi tiểu,,,,,
Viêm dạ dày,buồn nôn,chảy máu dạ dày,đau thượng vị,chán ăn,cảm giác nặng bụng,,,,,
Thai ngoài tử cung,đau bụng dữ dội,đau khi ho,cảm giác nặng bụng,buồn nôn,đau khi đi vệ sinh,ra máu âm đạo,thở dốc,chóng mặt,,
Loét dạ dày tá tràng,đau bụng,sút cân,cảm giác nóng rát,khó tiêu,chán ăn,buồn nôn,đầy hơi,chảy máu dạ dày,,
Bệnh lao,ho ra máu,khó thở,giảm cân,ra mồ hôi ban đêm,đau ngực,hạch bạch huyết sưng,chán ăn,,,
Rối loạn lưỡng cực,thay đổi đột ngột tâm trạng,dễ nổi giận,cảm giác cực kỳ vui vẻ,vấn đề với hành vi,mất ngủ,,,,,
Sốt rét,thở nhanh,rùng mình,mệt mỏi,thiếu máu,đau cơ,đau đầu,,,,
Bệnh Lyme,đau khớp,sốt,đau cơ,tim đập nhanh,ớn lạnh,mệt mỏi,cứng cổ,tê tay chân,đau đầu,phát ban hình mắt bò
Tăng huyết áp,đau ngực,mơ hồ,chóng mặt,nhịp tim không đều,mệt mỏi,chảy máu cam,,,,
Rối loạn phổ tự kỷ (ASD),không hiểu cảm xúc người khác,vấn đề với tương tác xã hội,mất tập trung,khó khăn trong giao tiếp xã hội,lặp lại hành động hoặc lời nói,hành vi lặp lại,,,,
Psoriasis,da khô,đau khớp,ngứa,nứt nẻ da,mẩn đỏ,vết sưng da,,,,
Bệnh Celiac,mệt mỏi,sang thương da,buồn nôn,đau bụng,đầy hơi,chướng bụng,sút cân,thường xuyên cảm giác ốm yếu,,
Bệnh botulism,buồn nôn,yếu cơ,khó thở,mệt mỏi,đau cơ,khô miệng,khó nuốt,nôn mửa,,
Thoái hóa khớp,mệt mỏi,đau khớp,cứng khớp,đỏ xung quanh khớp,sưng tấy,đau buổi sáng,đau dai dẳng,yếu cơ,giảm khả năng vận động,
Hội chứng ruột kích thích (IBS),chán ăn,sút cân,mệt mỏi,đau khi đi tiêu,đầy hơi,sưng bụng,đau bụng,khó tiêu,tiêu chảy,táo bón
Hội chứng chân không yên,khó tập trung,đau rát,cảm giác châm chích,rối loạn giấc ngủ,không kiểm soát được chuyển động chân,,,,,
Bệnh cơ xơ hóa,hạn chế tầm vận động,cứng cơ,ho khan,suy giảm khả năng di chuyển,mệt mỏi,,,,,
Viêm màng não,sợ ánh sáng,buồn nôn,hôn mê,đau cơ,mệt mỏi,co giật,cứng cổ,sốt cao,lú lẫn,đau đầu dữ dội
Viêm phổi,nôn,mơ hồ,khó thở,sốt,buồn nôn,đau ngực,,,,
Viêm loét đại tràng,thiếu máu,mệt mỏi,đau trực tràng,mũi trong phân,đau bụng,giảm cân,,,,
Gonorrhea,mệt mỏi,đau khi quan hệ,sưng vùng kín,chảy mủ từ dương vật,đau khi đi tiểu,ngứa,ra dịch âm đạo,buồn nôn,sốt,
Tiểu đường,lành vết thương chậm,tiểu nhiều lần,nhiễm trùng thường xuyên,da khô,giảm cân không rõ lý do,tê hoặc ngứa,mờ mắt,,,
Đột quỵ,đau đầu dữ dội,mất phối hợp,mơ hồ,nói ngọng,khó nuốt,khó nhìn,yếu một bên cơ thể,,,
Tiểu đường,lành vết thương chậm,khát nước,nhiễm trùng thường xuyên,mờ mắt,thèm ăn cực độ,da khô,giảm cân không rõ lý do,tiểu nhiều lần,mệt mỏi,tê hoặc ngứa
Ung thư tụy,sốt,mất cảm giác thèm ăn,mệt mỏi,đau lưng,tiêu chảy,vàng da,đau bụng,giảm cân không rõ lý do,,
Thoát vị,đau xương chậu,tăng áp lực bụng,sưng vùng bụng,đau khi di chuyển,tăng áp lực khi đi vệ sinh,cảm giác căng tức,đau vùng bụng,,,
Xơ gan,mạch máu nổi rõ trên da,sút cân,xuất huyết,buồn nôn,bụng sưng to,tinh thần lú lẫn,ngứa,,,
Rubella,đau đầu,đau cơ,mệt mỏi,chán ăn,sốt,đau họng,ho,đau khớp,,
HIV/AIDS,buồn nôn,mệt mỏi,ra mồ hôi ban đêm,hạch bạch huyết sưng,đau đầu,sốt,,,,
Thoát vị,đau khi di chuyển,khó thở,tăng áp lực khi đi vệ sinh,sưng vùng bụng,cảm giác căng tức,tăng áp lực bụng,đau vùng bụng,cảm giác nặng nề,đau xương chậu,đau khi ho hoặc căng thẳng
Lupus,mất tóc,mệt mỏi,sút cân,sốt,đau ngực,chán ăn,phát ban mặt,đau khớp,viêm phổi,cảm giác lạnh
Bệnh phổi tắc nghẽn mãn tính (COPD),tiếng thở có âm thanh,khó thở,ho kéo dài,thở nhanh,khó thở khi gắng sức,đau ngực,sút cân,khò khè,ho có đờm,
Ung thư buồng trứng,tiểu nhiều hoặc tiểu khó,khó tiêu,mệt mỏi,đau lưng,đau bụng,sút cân không rõ lý do,chảy máu âm đạo bất thường,,,
Bulimia,lo âu về hình dáng cơ thể,nôn mửa,trầm cảm,thay đổi trọng lượng cơ thể,cảm giác xấu hổ khi ăn,sử dụng thuốc nhuận tràng,mệt mỏi,cảm giác mất kiểm soát,khó tiêu,
Hội chứng ruột kích thích (IBS),đau bụng,mệt mỏi,chán ăn,đầy hơi,khó tiêu,sưng bụng,táo bón,,,
Bệnh máu khó đông,chảy máu mũi,mệt mỏi,chảy máu bất thường,sưng khớp,cảm giác nặng nề ở tay chân,xuất huyết trong cơ,,,,
Bệnh Behçet,sưng khớp,đau bụng,lở loét miệng,sốt,đau cơ,giảm trí nhớ,loét sinh dục,mệt mỏi,,
Viêm dạ dày,nôn mửa,tiêu chảy,đau khi ăn,cảm giác nặng bụng,đau thượng vị,chán ăn,đau bụng,đầy hơi,chảy máu dạ dày,buồn nôn
Vô sinh,cảm giác trầm cảm,đau khi quan hệ,khó thụ thai,đau bụng,rối loạn kinh nguyệt,tăng cân,vô cảm xúc,rối loạn nội tiết,chậm kinh,sút cân
Bệnh cơ xơ hóa,cứng cơ,tăng huyết áp,đau cơ,mệt mỏi,đau khớp,hạn chế tầm vận động,ho khan,khó thở,suy giảm khả năng di chuyển,
Bệnh gan,dễ bị bầm tím,sưng chân,phân nhạt màu,buồn nôn,chán ăn,vàng da,ngứa,mệt mỏi,đau bụng,
Herpes,buồn nôn,ngứa,vùng da đau nhức,phát ban,đau đầu,đau cơ,sốt,vết loét trên cơ thể,,
Rối loạn hoảng sợ,mệt mỏi,buồn nôn,đau ngực,run rẩy,rối loạn nhịp tim,cảm giác choáng váng,khó thở,mồ hôi vã ra,đột ngột cảm giác sợ hãi,cảm giác tê liệt
Viêm tụy mạn tính,đau lưng,buồn nôn,đầy hơi,suy dinh dưỡng,tiêu chảy,chán ăn,nôn,mỡ trong phân,đau bụng dai dẳng,
Ung thư tinh hoàn,thay đổi hình dáng tinh hoàn,đau bụng dưới,đau khi quan hệ,khó thở,buồn nôn,mệt mỏi,đau hoặc cảm giác nặng nề ở tinh hoàn,khối u ở tinh hoàn,,
Eczema,chàm,mẩn đỏ,ngứa da,vảy da,dễ bị viêm nhiễm,,,,,
Sốt thương hàn,đau đầu,mơ hồ,tiêu chảy,buồn nôn,đau bụng,chán ăn,sốt,đau cơ,yếu,phát ban
Rối loạn lưỡng cực,dễ nổi giận,vấn đề với hành vi,khó khăn trong kiểm soát cảm xúc,suy nghĩ nhanh,nói nhiều,trầm cảm,,,,
Sốt thương hàn,phát ban,mơ hồ,tiêu chảy,sốt,buồn nôn,đau bụng,đau đầu,chán ăn,,
Ngưng thở khi ngủ,thở dốc khi ngủ,mệt mỏi vào buổi sáng,ngáy to,đau đầu,khó tập trung,,,,,
Syphilis,khó nuốt,đau cơ,phát ban da,vết loét không đau,mệt mỏi,đau họng,sốt,đau đầu,,
Uốn ván,cứng cơ,ra mồ hôi,khó mở miệng,khó nuốt,đau đầu,đau họng,chuột rút hàm,,,
Sỏi mật,mệt mỏi,đau lưng,sút cân,chán ăn,khó tiêu,đau bụng trên,đau sau ăn,nôn mửa,vàng da,buồn nôn
Bệnh lao,hạch bạch huyết sưng,mệt mỏi,khó thở,chán ăn,sốt,ra mồ hôi ban đêm,ho ra máu,đau ngực,ho dai dẳng,
Suy tim,mệt mỏi,tăng cân,nhịp tim không đều,khó tập thể dục,thở khò khè,tiểu thường xuyên,chán ăn,,,
Bệnh thận mãn tính,tiểu không bình thường,khó thở,da khô hoặc ngứa,sưng chân,nôn,huyết áp cao,mệt mỏi,,,
Gout,sút cân,cảm giác nóng ở khớp,đau khớp đột ngột,buồn nôn,khó di chuyển,đỏ da quanh khớp,sưng khớp,,,
Bệnh Lyme,cứng cổ,đau đầu,mệt mỏi,tê tay chân,phát ban hình mắt bò,tim đập nhanh,đau khớp,ớn lạnh,đau cơ,sốt
Ung thư tuyến tiền liệt,buồn nôn,mệt mỏi,sút cân nhanh,"đi tiểu thường xuyên, đặc biệt vào ban đêm",máu trong nước tiểu,đau vùng xương chậu,đau vùng lưng dưới,tiểu khó,rối loạn cương dương,đau khi đi tiểu
Bệnh Wilson,mệt mỏi,vòng Kayser-Fleischer,run tay,vàng da,cứng cơ,đau bụng,mất thăng bằng,giảm cân,,
Viêm màng não,sợ ánh sáng,lú lẫn,cứng cổ,hôn mê,đau cơ,sốt cao,,,,
Bệnh Huntington,yếu cơ,khó nói,mất thăng bằng,trí nhớ giảm sút,cử động không kiểm soát,chóng mặt,,,,
Sỏi mật,sút cân,mệt mỏi,vàng da,buồn nôn,đau sau ăn,,,,,
U ác tính,thay đổi màu sắc của da hoặc nốt mụn,mệt mỏi,khó nuốt,đau ngực,khó thở,khối u,đau,,,
Hội chứng mệt mỏi mãn tính,cảm giác không phục hồi sau giấc ngủ,khó ngủ,lo âu,đau khớp,cảm giác mệt mỏi kéo dài,đau đầu,,,,
Gout,buồn nôn,khó di chuyển,đỏ da quanh khớp,sưng khớp,tiểu gắt,,,,,
Viêm màng não,sợ ánh sáng,lú lẫn,đau cơ,buồn nôn,hôn mê,cứng cổ,đau đầu dữ dội,co giật,,
Tiền sản giật,mắt nhìn mờ,khó thở,đau bụng trên,nôn mửa,mệt mỏi,sưng chân tay,buồn nôn,đau đầu,,
Viêm loét đại tràng,giảm cân,tăng tần suất đi vệ sinh,đau bụng,buồn nôn,đau trực tràng,sốt,mũi trong phân,,,
HIV,chán ăn,đau họng,đổ mồ hôi ban đêm,sốt,khó thở,mệt mỏi,phát ban,đau cơ,viêm hạch bạch huyết,sút cân
Viêm ruột thừa,nôn mửa,đau khi ho hoặc di chuyển,đau bụng,đau vùng bụng dưới bên phải,tiêu chảy hoặc táo bón,mệt mỏi,cảm giác no bụng,buồn nôn,khó tiêu,
Thai ngoài tử cung,buồn nôn,chậm kinh,đau khi đi vệ sinh,đau bụng dữ dội,đau khi ho,ra máu âm đạo,cảm giác nặng bụng,thở dốc,mệt mỏi,
Thai ngoài tử cung,cảm giác nặng bụng,ra máu âm đạo,chậm kinh,buồn nôn,mệt mỏi,,,,,
Bệnh gan,vàng da,đau bụng,sưng chân,nước tiểu màu đậm,buồn nôn,phân nhạt màu,dễ bị bầm tím,ngứa,chán ăn,
Rối loạn hình thể cơ thể,vấn đề với tự nhận thức cơ thể,lo âu về cân nặng,khó kết nối xã hội,rối loạn ăn uống,trầm cảm,cảm giác căng thẳng,,,,
Hội chứng ruột kích thích (IBS),tiêu chảy,đầy hơi,sút cân,táo bón,mệt mỏi,khó tiêu,đau bụng,chán ăn,sưng bụng,
Hội chứng mệt mỏi mãn tính,mệt mỏi không rõ nguyên nhân,đau cơ,cảm giác không phục hồi sau giấc ngủ,khó ngủ,cảm giác mệt mỏi kéo dài,suy giảm trí nhớ,đau khớp,lo âu,đau đầu,trí nhớ kém
Loãng xương,mỏi cơ,cứng khớp,giảm chiều cao,đau lưng,dáng cong,yếu cơ,đau cổ,chuột rút,gãy xương dễ dàng,
Psoriasis,da khô,tăng mảng vảy,mẩn đỏ,vết sưng da,da đỏ,đau khớp,,,,
Vô sinh,khó thụ thai,đau bụng,chậm kinh,đau khi quan hệ,vô cảm xúc,,,,,
Tăng huyết áp,đau ngực,khó thở,đau đầu,chóng mặt,mơ hồ,mệt mỏi,nhịp tim không đều,chảy máu cam,,
